,adani,asian,axis,bajajauto,bajajfs,bajajfin,airtel,bpcl,britannia,cipla,coalind,divislab,drreddy,eichermot,gail,grasim,hcl,hdfc,hdfcbk,hdfclife,hero,hindalco,hindu,icici,indus,infy,ioc,itc,jsw,kotak,lt,mm,maruti,nestle,ntpc,ongc,powergrid,rel,sbilife,sbibk,shreecem,sunpharma,tatam,tatas,tcs,techm,titan,ultracem,upl,wit
2018-01-16,423.55,1188.75,563.2,3160.05,4956.8,1687.35,497.25,479.45,4677.35,601.4,291.6,1092.75,2468.7,27891.2,478.4,1229.0,949.25,1845.95,1900.15,482.64999400000005,3586.1,260.55,1382.0,334.1,1664.6,1122.85,384.15,261.7,281.2,1033.25,1326.2,9322.05,746.7,7774.6,173.25,197.2,196.2,922.95,700.849976,296.15,19104.25,577.7,421.9,765.75,2850.85,557.65,889.4,4545.1,766.85,331.95
2018-01-17,433.4,1193.75,585.2,3194.15,4964.9,1701.2,499.9,479.85,4749.8,607.15,290.95,1107.550049,2491.85,28222.85,480.55,1248.0,952.85,1858.35,1890.5,478.39999400000005,3566.85,262.75,1371.2,343.25,1657.45,1152.1,384.05,266.05,285.05,1027.1,1353.35,9313.9,745.35,7761.9,174.25,195.7,197.4,924.5,705.25,307.1,18975.0,583.75,422.95,774.0,2888.95,554.9,893.1,4544.25,780.75,325.7
2018-01-18,416.25,1188.25,584.8,3201.2,4922.6,1660.7,495.0,470.25,4631.5,603.65,283.05,1090.400024,2461.5,27954.4,468.5,1217.6,954.25,1896.8,1934.3,485.049988,3593.35,253.9,1356.95,346.15,1680.1,1152.7,378.05,273.4,279.8,1046.5,1360.8,9368.7,759.25,7736.2,172.15,194.1,197.0,919.7,707.799988,303.25,18421.6,576.7,418.95,751.75,2918.2,552.65,885.85,4408.65,800.5,325.35
2018-01-19,433.45,1189.9,590.25,3210.4,4973.05,1701.9,497.9,477.3,4684.45,602.75,284.0,1098.300049,2490.35,28009.45,468.75,1223.55,958.3,1901.25,1952.2,481.5,3589.75,258.0,1362.45,353.6,1684.0,1143.45,385.95,274.55,282.1,1060.55,1371.45,9323.95,765.4,7680.65,172.75,193.7,196.1,931.3,711.5,309.25,18354.6,572.1,418.05,753.0,2959.3,552.9,891.45,4300.0,802.35,328.95
2018-01-22,438.05,1176.0,611.55,3274.5,5051.45,1706.35,490.7,469.15,4707.35,601.15,285.05,1077.849976,2496.55,27649.8,457.4,1239.3,966.35,1872.0,1963.35,470.200012,3602.95,255.1,1355.1,351.5,1683.2,1150.0,382.5,273.65,278.65,1074.1,1398.85,9310.1,759.6,7667.0,172.4,200.7,195.3,971.5,714.650024,306.5,18479.35,576.15,421.9,752.2,3116.4,569.5,909.75,4330.0,813.6,321.55
2018-01-23,438.4,1169.9,620.1,3295.95,5014.6,1708.7,492.1,481.15,4736.45,622.35,293.1,1101.349976,2520.4,27071.25,470.8,1223.4,995.35,1884.65,1951.3,458.549988,3630.0,264.95,1368.35,362.3,1723.35,1177.1,389.4,276.6,294.05,1075.45,1410.7,9393.4,769.05,7599.7,172.7,207.35,195.85,983.25,716.900024,318.1,18391.95,579.35,418.0,779.75,3102.0,588.25,905.7,4374.7,807.25,315.25
2018-01-24,448.75,1151.05,607.95,3341.55,5014.45,1739.15,459.5,480.5,4719.25,618.3,294.55,1102.900024,2559.4,26404.05,484.95,1200.05,1018.45,1911.2,1957.65,455.25,3645.5,258.7,1365.9,352.75,1717.3,1185.8,390.3,281.45,288.65,1080.1,1401.2,9434.95,755.4,7592.9,174.0,210.85,195.95,966.35,702.599976,329.9,18234.6,586.55,403.6,762.1,3174.6,603.15,886.9,4283.0,824.25,313.95
2018-01-25,436.5,1150.45,616.1,3311.7,4933.05,1710.3,452.7,480.65,4625.6,621.4,299.4,1120.300049,2507.75,26519.4,493.75,1193.0,1009.55,1908.3,1974.95,448.5,3571.2,258.95,1372.75,360.8,1730.2,1175.4,392.3,281.25,290.8,1092.35,1416.5,9278.2,757.8,7490.75,171.95,208.5,194.3,965.9,682.049988,313.15,18161.85,579.85,400.3,769.15,3121.05,598.45,884.1,4359.95,768.95,311.95
2018-01-29,436.65,1152.05,605.55,3363.9,4912.4,1715.3,440.6,469.8,4692.1,615.0,301.75,1100.400024,2357.1,27453.65,474.35,1184.55,1012.05,1967.6,1999.65,445.35000599999995,3641.75,258.6,1397.3,357.65,1742.5,1182.9,399.65,275.65,293.45,1115.1,1431.95,9630.7,764.35,7530.85,171.05,205.15,194.15,964.5,681.849976,312.1,17826.7,587.95,399.25,783.15,3198.85,604.8,896.2,4390.7,788.5,311.15
2018-01-30,428.25,1126.7,593.75,3358.3,4875.65,1678.4,440.6,485.6,4705.6,605.95,305.9,1079.900024,2306.15,26689.4,476.1,1163.25,1000.4,1937.5,1995.5,421.85000599999995,3687.85,253.55,1400.25,353.25,1736.05,1170.65,416.25,275.2,289.1,1088.05,1429.9,9571.55,764.9,7455.9,170.3,204.8,194.95,950.4,667.900024,313.55,17326.55,591.95,395.85,775.85,3152.85,602.95,884.15,4363.2,770.75,307.3
2018-01-31,428.85,1128.3,593.6,3337.15,4812.35,1677.85,439.85,492.3,4684.15,592.15,299.55,1039.400024,2225.35,26923.6,478.6,1160.05,986.55,1956.3,2005.7,427.0,3691.45,256.15,1369.35,352.95,1753.1,1150.25,417.6,271.4,289.95,1108.95,1416.5,9509.7,763.05,7469.15,170.25,203.45,193.8,961.3,660.650024,313.25,17206.3,579.9,399.5,705.05,3112.35,612.65,869.55,4382.0,752.05,304.7
2018-02-01,428.75,1153.0,592.8,3412.95,5038.4,1729.45,438.4,490.35,4740.5,587.05,295.6,1043.800049,2157.95,28047.35,486.25,1188.9,984.9,1967.55,1991.15,448.25,3732.95,256.25,1371.25,346.2,1795.45,1144.6,417.9,275.3,302.65,1120.95,1455.6,9401.85,798.75,7310.85,169.05,194.9,194.85,943.85,708.700012,306.05,17453.05,554.3,393.65,696.75,3138.6,611.05,831.0,4391.45,758.85,300.75
2018-02-02,417.95,1137.9,564.9,3241.3,4935.75,1628.9,422.35,477.15,4726.45,581.15,290.35,1028.25,2123.55,27811.75,466.45,1128.85,990.9,1903.85,1948.0,442.39999400000005,3623.45,249.85,1372.2,335.1,1761.3,1143.25,408.65,275.35,299.0,1085.95,1415.45,8990.6,770.25,7135.45,165.2,192.7,192.9,904.35,718.299988,297.35,17038.4,551.2,383.75,670.45,3153.65,619.45,822.2,4179.45,733.05,300.6
2018-02-05,408.2,1134.1,566.25,3185.55,4918.0,1604.95,440.2,475.95,4616.7,580.1,294.8,1034.650024,2116.5,27537.95,462.35,1098.05,993.15,1823.35,1913.85,441.700012,3636.4,246.6,1355.75,329.7,1713.0,1138.2,409.0,279.25,291.25,1062.25,1363.65,9080.6,760.5,7134.7,166.25,188.75,196.5,902.15,695.049988,298.05,16635.65,557.45,395.8,664.05,3103.2,629.05,802.3,4146.4,722.5,298.75
2018-02-06,404.8,1110.25,563.7,3135.1,4904.6,1662.15,439.15,467.2,4530.45,564.25,290.35,1003.2000119999999,2095.7,27579.25,452.6,1065.45,953.85,1788.6,1896.8,438.799988,3541.85,244.4,1325.35,330.7,1682.85,1107.75,401.3,273.5,283.2,1033.8,1353.05,8984.6,751.8,7016.3,165.3,185.45,194.95,892.1,695.25,291.75,16517.8,551.8,375.45,664.5,2997.25,606.7,782.65,4092.65,700.05,294.65
2018-02-07,407.0,1121.1,559.35,3135.55,5012.05,1641.65,430.25,476.25,4550.45,569.25,297.6,1013.25,2111.4,28010.45,460.3,1057.95,938.55,1785.35,1872.8,433.450012,3566.4,246.0,1312.65,332.55,1661.75,1109.05,404.75,275.15,290.0,1036.3,1333.75,8921.8,747.1,7007.0,165.45,190.0,195.5,894.4,713.700012,292.8,16996.55,549.5,377.8,661.8,2955.05,603.1,783.65,4081.55,701.25,289.35
2018-02-08,405.1,1124.05,568.45,3157.95,5057.25,1662.15,429.8,478.2,4628.0,612.65,300.0,1029.900024,2180.45,28198.0,461.85,1108.65,944.35,1811.8,1880.95,441.5,3582.2,245.2,1329.55,333.85,1670.85,1134.25,385.6,274.1,304.2,1051.75,1347.4,9030.7,752.2,6986.0,163.7,188.7,193.2,904.55,715.0,301.4,17005.05,584.1,374.85,671.45,2974.2,608.25,800.75,4167.0,718.05,289.8
2018-02-09,399.0,1130.75,557.55,3099.25,5059.35,1639.4,422.5,475.4,4641.15,621.4,300.15,1016.5499880000001,2193.8,27747.95,462.45,1108.95,964.0,1773.05,1849.5,439.549988,3546.1,243.5,1333.05,326.75,1649.85,1109.15,378.65,271.35,309.35,1032.0,1329.25,8936.1,750.05,6969.65,163.25,187.35,193.2,897.85,709.900024,296.4,17041.45,582.7,368.75,685.3,2971.7,595.25,796.8,4153.3,708.35,285.0
2018-02-12,403.35,1144.4,564.2,3154.1,5235.45,1643.8,424.4,467.55,4772.5,621.65,300.65,1036.5,2204.25,27901.4,465.0,1132.3,939.15,1805.45,1876.65,441.75,3611.9,243.25,1344.45,326.25,1687.8,1102.8,379.05,269.85,310.75,1042.95,1350.5,9117.85,746.0,7141.9,164.9,191.0,198.5,915.5,685.799988,288.75,16953.35,589.15,371.8,713.1,2967.3,590.35,809.05,4200.3,726.5,288.95
2018-02-14,413.0,1139.15,543.9,3109.75,5189.0,1669.95,434.8,460.1,4764.15,616.15,306.95,1050.699951,2183.3,28027.6,466.9,1126.75,937.8,1814.0,1883.15,431.89999400000005,3596.05,243.25,1349.4,318.95,1694.45,1097.75,377.35,266.5,309.55,1042.45,1361.2,9001.6,746.95,7264.95,162.95,185.75,195.45,933.65,682.25,276.2,16813.15,574.8,376.85,708.0,2911.8,611.5,813.7,4175.5,721.9,293.45
2018-02-15,411.7,1135.45,543.7,3143.5,5130.35,1677.05,428.95,475.05,4755.75,605.85,308.1,1048.099976,2195.8,28340.45,475.9,1103.65,939.7,1829.5,1881.9,432.0,3527.25,251.5,1358.15,328.65,1686.15,1114.45,376.8,268.1,307.8,1042.15,1350.35,9020.25,749.35,7583.2,163.2,188.3,197.9,935.65,682.400024,278.7,17356.7,575.75,375.8,700.55,2925.85,605.65,814.85,4187.85,716.1,292.5
2018-02-16,405.45,1143.85,537.85,3103.9,5058.25,1675.25,419.7,465.7,4781.95,611.1,303.5,1045.650024,2213.55,27328.15,468.3,1100.05,937.1,1815.5,1878.6,431.450012,3494.2,247.65,1352.1,321.05,1658.9,1128.05,375.05,266.45,312.4,1050.2,1328.4,8836.95,743.75,7592.85,162.8,186.9,195.55,921.3,689.25,271.65,16976.6,575.25,370.75,689.75,2933.05,584.35,803.2,4166.35,703.6,291.0
2018-02-19,393.85,1120.35,540.55,3030.6,5000.75,1642.7,414.35,456.85,4733.3,600.4,305.4,1016.7999880000001,2152.0,27089.5,463.8,1089.7,914.2,1814.05,1878.2,435.89999400000005,3465.7,247.55,1335.9,319.75,1630.45,1131.75,369.65,264.1,302.7,1056.2,1295.5,8724.85,724.65,7506.7,162.9,185.3,194.15,927.0,685.25,268.5,16766.85,561.4,368.75,648.85,2923.6,572.45,803.95,4116.6,701.3,289.95
2018-02-20,394.9,1126.4,531.7,3049.85,5014.3,1638.75,418.1,453.05,4734.1,603.45,310.4,1013.900024,2163.65,26916.4,465.15,1118.65,907.45,1811.75,1863.2,434.5,3477.45,248.8,1331.8,317.25,1622.7,1136.95,366.6,263.25,305.6,1045.8,1290.6,8722.65,709.0,7572.65,164.2,187.0,195.0,921.1,674.650024,269.65,16930.85,559.5,369.3,651.3,2944.75,574.2,832.25,4140.6,695.35,291.45
2018-02-21,395.6,1127.2,535.8,3012.6,4973.45,1596.45,419.65,447.55,4769.75,597.25,310.55,1006.75,2165.9,27365.75,466.1,1110.6,942.9,1824.8,1857.4,449.60000599999995,3490.75,240.65,1330.6,319.2,1594.25,1147.4,368.5,268.2,298.3,1055.05,1282.8,8782.75,708.4,7597.55,162.3,190.15,193.95,929.35,675.5,273.3,17004.5,525.75,364.45,640.95,3042.3,595.2,822.9,4131.55,688.25,292.2
2018-02-22,404.0,1118.1,530.25,2974.3,4951.85,1600.35,416.1,427.45,4855.85,589.65,311.55,1019.25,2123.45,26868.5,466.15,1110.4,941.0,1819.25,1853.2,450.799988,3481.2,239.9,1326.45,318.35,1623.5,1160.75,363.2,267.1,297.7,1072.5,1292.0,8634.05,721.95,7543.3,160.75,186.1,190.25,924.35,666.200012,272.6,16729.55,541.45,358.5,637.55,3050.2,602.6,817.5,4099.9,675.45,292.65
2018-02-23,406.5,1101.8,536.65,2986.4,5019.65,1633.4,425.55,429.9,4961.9,595.65,310.95,1050.099976,2167.05,26724.4,458.4,1136.7,955.6,1824.2,1880.55,468.85000599999995,3494.7,246.55,1323.15,322.75,1643.5,1155.65,368.4,269.05,306.95,1080.85,1301.7,8698.8,718.65,7582.8,163.55,189.8,193.25,934.25,675.700012,276.05,17219.5,569.65,360.2,677.75,3075.8,621.45,814.2,4116.4,700.55,295.0
2018-02-26,415.05,1104.8,552.3,3008.7,5192.95,1674.95,423.15,433.0,4964.75,590.1,314.05,1035.349976,2193.8,27185.95,463.2,1180.6,946.05,1843.25,1911.55,468.299988,3537.85,246.2,1333.3,327.05,1691.3,1138.6,376.7,266.55,316.1,1105.15,1344.25,9005.35,735.4,7625.25,162.95,190.35,196.15,938.7,682.200012,274.45,16988.4,555.95,372.05,680.2,3031.7,612.45,819.7,4140.8,720.5,291.6
2018-02-27,410.45,1110.35,538.4,3034.7,5121.35,1656.8,430.5,426.95,4952.25,586.5,309.0,1035.550049,2236.0,27154.65,457.05,1171.95,949.9,1828.65,1902.55,469.0,3585.5,244.3,1346.35,322.15,1685.2,1150.2,377.45,266.4,318.1,1093.05,1338.1,8891.2,739.8,7759.95,165.55,188.5,197.75,950.5,689.450012,267.6,16859.9,544.8,372.55,671.75,3042.35,610.55,822.6,4176.1,721.15,291.75
2018-02-28,408.35,1117.75,528.75,3020.6,5051.7,1640.25,428.55,429.55,4994.25,589.65,309.15,1025.900024,2237.25,27437.75,457.5,1152.7,940.3,1808.7,1884.2,461.200012,3596.7,245.4,1317.75,313.25,1680.75,1172.6,379.3,265.05,312.2,1090.55,1318.15,8850.95,728.35,7761.65,163.25,188.3,197.7,954.55,694.5,268.0,16623.45,535.35,369.9,671.6,3035.05,612.65,816.15,4155.6,728.75,292.8
2018-03-01,406.1,1118.9,525.75,3020.9,4999.4,1659.35,427.75,441.9,4943.85,581.7,312.9,1018.4500119999999,2231.5,27742.35,454.25,1166.6,942.8,1814.15,1874.35,450.950012,3576.9,240.8,1324.25,304.95,1700.35,1160.75,381.5,264.0,305.5,1095.7,1315.2,8873.45,732.55,7849.4,163.0,189.7,197.4,948.4,690.0,262.15,16595.35,535.4,370.75,675.05,3037.7,611.9,810.2,4153.3,714.25,292.5
2018-03-05,403.95,1105.95,524.55,2943.55,5037.45,1636.95,421.45,434.3,4902.45,579.25,305.8,1012.099976,2180.8,27548.35,443.6,1141.75,932.1,1789.6,1869.95,452.89999400000005,3556.45,229.6,1299.75,303.35,1689.2,1155.9,379.25,260.25,291.65,1100.0,1300.7,8795.1,739.6,7714.0,163.3,185.55,196.95,924.1,672.549988,263.5,16626.1,548.55,352.05,655.9,3105.85,630.85,808.9,4095.4,720.9,290.95
2018-03-06,405.25,1101.6,517.35,2899.2,4980.65,1637.75,413.9,445.2,4825.2,584.1,307.0,1013.7000119999999,2176.45,27488.45,439.95,1133.95,932.8,1782.8,1846.25,447.35000599999995,3561.9,225.85,1293.2,295.05,1710.3,1151.35,382.2,256.5,293.5,1082.45,1283.4,8616.5,719.9,7688.85,163.35,185.4,193.15,910.85,655.049988,256.55,16645.9,531.75,346.5,659.75,3042.8,617.25,807.65,4150.3,702.4,286.95
2018-03-07,376.95,1107.25,512.65,2903.9,4836.15,1618.35,403.2,443.4,4884.7,580.2,306.95,990.7999880000001,2149.6,27528.15,440.75,1114.9,949.55,1761.75,1832.6,437.549988,3554.4,224.45,1293.85,286.7,1704.25,1144.1,379.4,259.9,289.5,1085.1,1263.3,8679.1,707.8,7704.45,163.5,181.5,193.35,889.75,652.599976,246.65,16180.1,524.85,347.8,647.7,3027.45,609.05,814.85,4113.45,702.0,285.35
2018-03-08,387.95,1127.6,520.55,2923.9,4864.6,1628.05,401.3,442.2,4848.4,578.0,305.5,1002.7000119999999,2143.4,27711.85,436.45,1100.65,950.65,1798.75,1852.85,430.549988,3586.7,222.7,1293.15,296.95,1694.15,1156.65,382.1,258.85,289.25,1082.3,1283.8,8729.35,726.65,7710.05,165.3,180.15,195.4,911.45,653.299988,256.8,16098.7,514.6,345.15,635.9,3003.95,607.2,817.7,4119.9,710.8,285.2
2018-03-09,377.9,1129.1,505.35,2935.4,4966.25,1654.2,402.15,439.4,4841.8,571.05,304.05,998.7000119999999,2129.9,27963.85,436.9,1100.35,943.0,1818.6,1851.05,425.549988,3586.35,220.2,1300.75,292.7,1697.55,1163.4,385.5,259.25,291.95,1082.45,1290.5,8660.6,728.5,7657.35,164.4,179.9,192.9,913.1,670.299988,253.25,16000.75,506.8,341.5,606.75,3034.1,619.2,819.1,4079.85,712.15,285.05
2018-03-12,386.6,1131.5,519.2,2957.75,5040.05,1665.25,421.55,446.75,4866.8,580.65,297.65,1013.7999880000001,2148.4,28316.9,446.45,1106.0,967.65,1858.05,1867.25,430.39999400000005,3694.5,227.65,1324.2,300.65,1735.3,1185.75,400.65,270.1,297.85,1100.6,1310.05,8810.3,737.1,7619.0,171.15,183.85,195.0,930.3,678.549988,252.85,16151.5,512.65,352.6,622.9,3052.15,619.55,829.1,4176.0,717.95,290.7
2018-03-13,385.2,1140.3,531.5,2971.75,5098.4,1680.7,426.3,466.65,4869.95,578.75,294.85,1035.449951,2181.5,28849.35,455.95,1109.2,957.0,1868.5,1860.25,441.950012,3701.2,226.15,1320.55,304.35,1729.5,1183.8,407.85,269.45,303.5,1083.9,1302.75,8756.05,733.0,7700.25,169.4,183.6,195.05,931.85,677.5,254.7,16795.55,523.3,353.15,628.85,2886.8,619.15,851.95,4170.0,722.8,296.6
2018-03-14,382.1,1137.0,536.15,2950.55,5111.6,1710.1,422.6,462.8,4823.75,577.9,293.1,1054.849976,2181.45,28846.65,458.0,1121.75,965.05,1844.7,1864.5,445.25,3639.35,226.7,1316.9,306.05,1733.35,1180.8,395.05,268.05,300.45,1081.75,1303.25,8846.3,728.2,7647.75,169.7,180.6,194.35,929.05,674.150024,257.05,16970.1,520.1,354.05,620.55,2886.9,639.1,865.0,4230.25,718.35,293.85
2018-03-15,382.15,1160.8,529.65,2948.75,5034.5,1726.25,420.45,462.05,4868.25,571.15,295.5,1084.550049,2182.75,28695.55,450.35,1107.95,959.15,1830.0,1880.8,448.60000599999995,3640.8,224.9,1299.95,301.45,1741.75,1182.5,192.05,265.55,295.15,1085.65,1295.1,8837.55,734.85,7719.85,169.9,180.3,194.8,911.8,675.0,253.7,16815.65,516.45,353.1,611.75,2869.7,631.85,872.5,4189.4,721.15,293.4
2018-03-16,370.5,1122.75,522.6,2910.45,5011.35,1687.9,416.75,447.55,4860.6,559.4,278.2,1087.150024,2142.15,28079.15,441.0,1093.55,967.6,1791.4,1853.0,443.299988,3546.1,221.7,1299.15,298.1,1724.7,1171.9,184.75,260.5,290.25,1060.75,1269.3,8676.55,740.75,7695.35,164.85,177.15,192.25,900.05,668.450012,252.3,16424.4,503.05,339.75,600.2,2825.7,634.7,879.25,4026.3,719.7,295.75
2018-03-19,364.3,1102.55,519.45,2849.45,4963.45,1631.85,399.65,430.75,4815.55,559.75,272.3,1088.0,2119.85,27403.05,442.05,1098.2,926.5,1774.5,1847.25,425.89999400000005,3515.3,214.55,1309.4,294.55,1718.8,1146.75,177.9,259.15,283.6,1049.0,1279.55,8773.5,742.7,7663.3,167.0,176.85,194.2,895.5,674.099976,247.95,16015.5,497.65,335.7,574.95,2831.0,609.9,869.0,3972.4,701.85,288.65
2018-03-20,370.0,1106.5,521.1,2873.0,5080.85,1657.3,400.4,424.9,4825.05,552.9,270.25,1094.400024,2157.15,28360.45,438.5,1096.1,937.2,1800.05,1839.5,422.85000599999995,3513.8,217.3,1313.25,292.0,1716.65,1164.55,173.85,259.2,285.5,1045.3,1293.5,8802.4,740.95,7841.45,166.4,174.1,194.9,889.8,686.599976,249.1,16423.75,508.75,338.8,593.0,2864.85,633.4,871.75,3936.8,712.3,293.6
2018-03-21,363.7,1103.55,526.3,2851.8,5131.5,1704.55,418.2,430.65,4834.45,551.05,270.9,1085.949951,2141.7,27980.85,435.05,1094.7,937.35,1817.85,1858.9,422.5,3463.6,214.7,1315.6,289.2,1731.45,1167.5,172.45,259.05,288.4,1051.1,1309.35,8874.65,745.35,7853.25,170.35,175.55,194.2,896.9,672.900024,248.0,16117.55,504.5,333.85,582.25,2856.75,625.85,872.25,3999.2,714.9,295.25
2018-03-22,358.25,1107.1,518.2,2834.95,5119.85,1695.6,415.6,414.7,4838.2,540.75,269.4,1068.800049,2108.3,28030.5,438.4,1092.9,930.55,1809.55,1867.75,427.5,3452.3,216.8,1311.85,283.25,1753.1,1161.3,170.1,258.3,286.0,1053.05,1296.25,8696.55,730.85,7840.75,170.95,178.9,192.7,908.15,664.900024,241.55,16354.45,508.4,338.2,580.9,2831.35,619.05,887.55,3925.15,716.9,288.45
2018-03-23,362.4,1112.65,499.5,2789.95,5126.7,1685.3,412.7,413.45,4839.65,538.4,269.95,1037.699951,2072.3,27896.1,439.6,1082.6,957.4,1789.6,1841.55,429.14999400000005,3413.75,206.1,1301.65,275.55,1749.5,1167.6,168.85,256.0,286.0,1038.8,1267.9,8607.25,732.9,7793.8,170.05,177.4,194.25,893.9,664.5,234.8,16039.3,502.4,330.85,566.5,2818.15,623.35,895.05,3873.75,704.75,284.65
2018-03-26,365.15,1117.55,507.3,2848.65,5151.05,1741.6,421.5,419.55,4858.0,541.8,273.45,1055.199951,2104.0,27873.05,425.15,1080.6,967.05,1830.15,1893.45,437.549988,3481.7,210.55,1324.3,281.65,1759.75,1155.25,167.2,258.1,293.9,1039.35,1297.4,8765.3,746.5,7829.05,169.85,178.9,194.9,901.1,663.099976,246.5,16273.45,503.2,332.35,581.55,2817.0,620.4,939.05,3950.0,724.4,274.0
2018-03-27,365.5,1131.1,512.2,2798.3,5258.95,1772.45,413.2,420.75,4964.8,545.05,276.2,1087.650024,2102.45,28424.1,320.95,1088.85,972.05,1823.15,1892.6,448.64999400000005,3464.7,218.5,1332.8,283.9,1788.2,1154.0,174.85,258.9,298.85,1049.85,1307.55,8852.3,744.9,8112.7,171.05,179.6,195.95,899.8,672.950012,254.35,16094.7,505.1,331.15,590.0,2847.7,621.65,942.4,3978.6,736.8,274.05
